distance_client_restaurant_km,distance_rider_restaurant_km,est_prep_time_min,traffic_intensity,avg_vehicle_speed_kmh,is_festive_day,order_load_ratio,time_of_day_interval,weather,historical_pred_time_min
0.917,2.394,22.1,5,26.0,0,0.265,12:00-13:59,1,35.4
2.08,4.164,23.2,5,19.1,0,0.125,06:00-07:59,1,49.0
1.732,4.068,40.9,2,26.3,1,0.445,20:00-21:59,0,69.6
3.586,3.703,27.1,4,24.8,0,0.342,14:00-15:59,1,58.2
3.428,2.611,30.2,7,19.7,0,0.604,08:00-09:59,1,58.8
2.173,2.925,30.1,4,29.5,0,0.366,12:00-13:59,1,40.9
1.046,4.452,39.0,9,11.4,0,0.416,18:00-19:59,0,84.9
1.41,2.002,19.0,3,20.6,1,0.425,04:00-05:59,1,33.9
4.802,2.096,40.3,3,31.2,0,0.574,12:00-13:59,1,67.0
1.594,3.905,26.5,3,26.8,0,0.347,20:00-21:59,1,48.5
2.638,1.727,22.1,4,25.4,0,0.345,20:00-21:59,1,40.6
2.053,2.36,32.1,3,21.6,0,0.631,14:00-15:59,0,49.7
1.65,1.88,28.1,7,20.5,0,0.624,08:00-09:59,1,35.4
0.428,2.031,23.2,4,26.3,0,0.446,06:00-07:59,1,47.4
6.099,2.019,28.5,2,25.7,1,0.476,14:00-15:59,1,52.8
4.17,2.599,29.8,4,28.9,1,0.621,14:00-15:59,1,52.8
2.547,1.663,25.6,5,26.7,0,0.641,04:00-05:59,1,38.6
1.175,1.59,23.0,6,17.5,0,0.509,10:00-11:59,1,35.5
1.592,3.912,29.4,7,11.9,0,0.7,08:00-09:59,1,59.2
1.653,2.912,15.9,5,19.0,0,0.454,02:00-03:59,1,33.2
1.411,4.976,11.2,3,29.7,0,0.122,14:00-15:59,1,27.9
1.279,2.475,19.1,4,26.2,0,0.562,22:00-23:59,0,38.8
3.691,1.696,29.7,6,20.2,1,0.643,10:00-11:59,1,51.3
0.488,4.621,16.4,5,16.9,0,0.457,02:00-03:59,0,39.0
3.824,2.299,25.4,3,27.7,0,0.566,22:00-23:59,1,42.4
